Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,26880.0,27481.0,27918.0,28318.0,28673.0,28980.0,29239.0,29362.0,29347.0,29286.0,29184.0,29050.0,29078.0,29339.0,29676.0,30025.0,30271.0,30415.0,30559.0,30701.0,30840.0,31021.0,31280.0,31570.0,31823.0,31984.0,32031.0,31990.0,31941.0,32082.0,32646.0,33726.0,35097.0,36478.0,37970.0,39475.0,41014.0,42610.0,44256.0,45929.0,47476.0,48666.0,49587.0,50424.0,51223.0,52084.0,53051.0,54058.0,55090.0,56133.0,57135.0,57795.0,58248.0,58652.0,59006.0,59314.0,59577.0,59791.0,59963.0,60091.0,60011.0,59803.0,59554.0
Africa Eastern and Southern,111658758.0,114296883.0,117064799.0,119893122.0,122832934.0,125871499.0,128929776.0,132073909.0,135349905.0,138711770.0,142202879.0,145773923.0,149328561.0,153022708.0,156979843.0,161019315.0,165138645.0,169191373.0,173517340.0,178207779.0,182750748.0,187576355.0,192763278.0,197706339.0,202462141.0,207263254.0,212138775.0,217180965.0,222016197.0,226798678.0,231789546.0,236852989.0,241689289.0,246651505.0,251602062.0,256845485.0,262711347.0,268424729.0,274058918.0,279952322.0,286048935.0,292226383.0,298513611.0,304973519.0,311634089.0,318408250.0,325481776.0,333175124.0,340365126.0,347634312.0,355003581.0,362377299.0,369971909.0,377783371.0,385577648.0,393452021.0,401294164.0,409014341.0,416834821.0,424791846.0,432797498.0,440600045.0,448193025.0
Afghanistan,7898093.0,8026804.0,8163985.0,8308019.0,8458694.0,8617815.0,8782038.0,8951970.0,9128927.0,9311235.0,9501003.0,9691641.0,9886067.0,10092624.0,10300800.0,10498997.0,10676535.0,10845486.0,11001526.0,10981014.0,10489394.0,9307672.0,8358450.0,8185365.0,8362433.0,8515214.0,8395637.0,8225793.0,8203141.0,8422410.0,8429959.0,8460100.0,9482568.0,11000794.0,12127356.0,12868486.0,13392069.0,13909967.0,14444061.0,15027717.0,15228282.0,15323859.0,16325389.0,17583264.0,18254002.0,18869118.0,19614729.0,19916271.0,20264376.0,20942092.0,21498290.0,22244569.0,23105778.0,23853670.0,24672275.0,25381619.0,25970228.0,26643455.0,27333488.0,28042342.0,28829317.0,29547690.0,30181937.0
Africa Western and Central,82954373.0,84327418.0,85737206.0,87186879.0,88657553.0,90158852.0,91732332.0,93316168.0,94927194.0,96574557.0,98290072.0,99974408.0,101700503.0,103515235.0,105428488.0,107448679.0,109492687.0,111666254.0,113962892.0,116475377.0,119024035.0,121429889.0,123935013.0,126258579.0,128433004.0,130674640.0,132966425.0,135304813.0,137716799.0,140238538.0,142710829.0,145528682.0,148571165.0,151596465.0,154649268.0,157868502.0,161125963.0,164330199.0,167613929.0,170916194.0,174339008.0,177535155.0,180788340.0,184068342.0,187390070.0,190745255.0,194094242.0,197479784.0,200921680.0,204415142.0,207933213.0,211507150.0,215054125.0,218561121.0,222082250.0,225573122.0,229093774.0,232644696.0,236154623.0,239621856.0,243081107.0,246481855.0,249836404.0
Angola,4798172.0,4853778.0,4902782.0,4948903.0,4989125.0,5019280.0,5036754.0,5044228.0,5050645.0,5072564.0,5127838.0,5211453.0,5317415.0,5439538.0,5564304.0,5687496.0,5806739.0,5927787.0,6052359.0,6177835.0,6306012.0,6435873.0,6566136.0,6695834.0,6822317.0,6945734.0,7063038.0,7167371.0,7261836.0,7352051.0,7435009.0,7510862.0,7574578.0,7625954.0,7673358.0,7767350.0,7861076.0,7952345.0,8035333.0,8110431.0,8182768.0,8254958.0,8326997.0,8401539.0,8479480.0,8558422.0,8717389.0,8881597.0,9049269.0,9220494.0,9396374.0,9575556.0,9755929.0,9935338.0,10110460.0,10281807.0,10452268.0,10621656.0,10784991.0,10942954.0,11089900.0,11227528.0,11359649.0
Albania,1114818.0,1146208.0,1180553.0,1214693.0,1248887.0,1282417.0,1315273.0,1348911.0,1386348.0,1424962.0,1457678.0,1489206.0,1522477.0,1554419.0,1585958.0,1618163.0,1649474.0,1681437.0,1711648.0,1740858.0,1769877.0,1798543.0,1829633.0,1861315.0,1893194.0,1924635.0,1954134.0,1985256.0,2014614.0,2060783.0,2089320.0,2067878.0,2037549.0,2007405.0,1977318.0,1947385.0,1917515.0,1887867.0,1858316.0,1828925.0,1799636.0,1761589.0,1723790.0,1684768.0,1645111.0,1604189.0,1561661.0,1517619.0,1473922.0,1432259.0,1393502.0,1358266.0,1324613.0,1291587.0,1258985.0,1226200.0,1195854.0,1167112.0,1137407.0,1106598.0,1075204.0,1041188.0,1005551.0
Andorra,3924.0,3986.0,4024.0,4040.0,4035.0,4009.0,3987.0,3993.0,3999.0,3981.0,3941.0,3885.0,3813.0,3728.0,3632.0,3524.0,3403.0,3274.0,3134.0,2985.0,2826.0,2663.0,2519.0,2390.0,2257.0,2121.0,2132.0,2297.0,2469.0,2648.0,2833.0,3032.0,3251.0,3484.0,3729.0,3989.0,4218.0,4411.0,4611.0,4815.0,5027.0,5388.0,5922.0,6499.0,7116.0,7755.0,8177.0,8358.0,8363.0,8189.0,7997.0,7956.0,8073.0,8181.0,8279.0,8362.0,8525.0,8750.0,8955.0,9173.0,9389.0,9596.0,9730.0
Arab World,64397301.0,65351959.0,66336440.0,67334151.0,68332516.0,69313223.0,70369947.0,71597518.0,72843623.0,74095637.0,75345080.0,76634748.0,77930410.0,79275712.0,80778065.0,82503949.0,84500472.0,86517101.0,88493512.0,90773822.0,93104682.0,95155896.0,97203328.0,99289164.0,101210985.0,103093596.0,104985847.0,106909207.0,108649059.0,110397538.0,112793548.0,114330890.0,115888166.0,118010622.0,120548935.0,123045238.0,125497011.0,127868431.0,130158663.0,132437494.0,134760263.0,137035624.0,139309363.0,141544299.0,143795602.0,146061880.0,148461034.0,151470322.0,154045019.0,156543696.0,158961824.0,161458885.0,164081345.0,166634015.0,169088347.0,171356230.0,173821136.0,176366208.0,178945980.0,181514684.0,183789991.0,185827299.0,187930334.0
United Arab Emirates,35358.0,36116.0,36850.0,37535.0,38154.0,38717.0,39225.0,39674.0,43144.0,51159.0,60213.0,69592.0,79258.0,89192.0,99375.0,109766.0,123431.0,140623.0,158558.0,177057.0,195610.0,212522.0,228129.0,244458.0,261326.0,278611.0,299262.0,323345.0,347865.0,372774.0,398063.0,423648.0,449487.0,475472.0,501509.0,527713.0,553318.0,578388.0,602395.0,625398.0,647337.0,668215.0,687960.0,706555.0,723952.0,759363.0,850066.0,996995.0,1161030.0,1299444.0,1349704.0,1335760.0,1321494.0,1307001.0,1292258.0,1277435.0,1262345.0,1247072.0,1231912.0,1216952.0,1202890.0,1189467.0,1176081.0
Argentina,5370094.0,5332093.0,5304067.0,5274989.0,5243902.0,5211501.0,5177808.0,5143540.0,5107735.0,5071366.0,5035600.0,5009153.0,4985814.0,4964585.0,4945651.0,4924377.0,4898926.0,4873929.0,4848569.0,4822810.0,4795885.0,4751003.0,4697346.0,4643350.0,4587894.0,4531558.0,4475419.0,4419313.0,4362871.0,4306031.0,4248117.0,4195162.0,4181937.0,4167656.0,4152439.0,4136222.0,4117198.0,4095914.0,4072973.0,4049427.0,4025145.0,3999543.0,3974139.0,3948010.0,3921016.0,3894938.0,3868731.0,3841665.0,3813926.0,3787305.0,3732551.0,3717660.0,3705497.0,3693179.0,3679391.0,3664923.0,3649822.0,3634137.0,3617403.0,3599141.0,3579773.0,3559798.0,3538352.0
