Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,27728.0,28330.0,28764.0,29157.0,29505.0,29802.0,30052.0,30160.0,30124.0,30044.0,29922.0,29766.0,29777.0,30026.0,30352.0,30690.0,30922.0,31050.0,31179.0,31305.0,31427.0,31593.0,31836.0,32113.0,32351.0,32494.0,32522.0,32460.0,32391.0,32514.0,33066.0,34138.0,35095.0,35882.0,36740.0,37575.0,38403.0,39248.0,40099.0,40938.0,41625.0,42025.0,42194.0,42277.0,42317.0,42399.0,42555.0,42729.0,42906.0,43079.0,43206.0,43493.0,43864.0,44228.0,44588.0,44943.0,45297.0,45648.0,45999.0,46351.0,46574.0,46734.0,46891.0
Africa Eastern and Southern,19033821.0,19872354.0,20770791.0,21737424.0,22773061.0,23870852.0,25025740.0,26239326.0,27525266.0,28884390.0,30272887.0,31729263.0,33270531.0,34878949.0,36533113.0,38264989.0,40064024.0,41929538.0,43964080.0,46108199.0,48217110.0,50361106.0,52623439.0,55073391.0,57747008.0,60674869.0,63897145.0,67309429.0,70778989.0,74326202.0,78101118.0,81691094.0,85244233.0,88973631.0,92816300.0,96621116.0,100274455.0,103927501.0,107656682.0,111533909.0,115551653.0,119775502.0,124227507.0,128833965.0,133647466.0,138745587.0,144026740.0,149231302.0,155383774.0,161776165.0,168456076.0,175415651.0,182558745.0,190108778.0,198073453.0,206556403.0,215083441.0,223732229.0,232922327.0,242451140.0,252315481.0,262377061.0,272666107.0
Afghanistan,724373.0,763336.0,805062.0,849446.0,896820.0,947332.0,1001109.0,1058060.0,1118853.0,1183254.0,1251968.0,1324216.0,1400686.0,1482681.0,1569079.0,1658389.0,1748732.0,1841815.0,1937336.0,2005355.0,1997237.0,1847523.0,1729839.0,1766084.0,1881253.0,1997007.0,2052805.0,2096965.0,2180319.0,2250758.0,2264837.0,2285067.0,2574865.0,3002966.0,3328199.0,3550426.0,3714526.0,3878852.0,4049071.0,4235130.0,4314700.0,4364773.0,4674867.0,5061866.0,5299549.0,5542073.0,5828215.0,5987030.0,6162823.0,6443215.0,6691382.0,7004588.0,7360701.0,7687539.0,8043935.0,8371880.0,8665979.0,8999963.0,9353296.0,9727157.0,10142913.0,10551772.0,10946834.0
Africa Western and Central,14301917.0,14986610.0,15707826.0,16480638.0,17302426.0,18177351.0,19066154.0,20003782.0,20994529.0,22041184.0,23134725.0,24361631.0,25663541.0,27047872.0,28525404.0,30099934.0,31765713.0,33456597.0,35243771.0,36984288.0,38801574.0,40893424.0,43088372.0,45308061.0,47621491.0,50142672.0,52753819.0,55455139.0,58252923.0,61153662.0,64028195.0,66644206.0,69394936.0,72192301.0,75026507.0,77992982.0,81074297.0,84382896.0,87868989.0,91480836.0,95272890.0,99624942.0,104163982.0,108909607.0,113875177.0,119079574.0,124507242.0,130133054.0,135972155.0,142060079.0,148404549.0,154982054.0,161743874.0,168643432.0,175773257.0,183117253.0,190684610.0,198494008.0,206492202.0,214684207.0,223107995.0,231704052.0,240494466.0
Angola,559023.0,587555.0,618618.0,650924.0,684074.0,717302.0,750290.0,783275.0,817558.0,855822.0,901862.0,965596.0,1047316.0,1138692.0,1238190.0,1345217.0,1460041.0,1584108.0,1719231.0,1865383.0,2024035.0,2195584.0,2381016.0,2580873.0,2795385.0,3024887.0,3269536.0,3526686.0,3798425.0,4087447.0,4393629.0,4717829.0,5057929.0,5412316.0,5788673.0,6144903.0,6522274.0,6918801.0,7331531.0,7760322.0,8211294.0,8686629.0,9189142.0,9722803.0,10291645.0,10892537.0,11444951.0,12028087.0,12642253.0,13287180.0,13967811.0,14683555.0,15432363.0,16211664.0,17017877.0,17845914.0,18702478.0,19586972.0,20488542.0,21410634.0,22338586.0,23276246.0,24229338.0
Albania,493982.0,513592.0,530766.0,547928.0,565248.0,582374.0,599300.0,616687.0,635924.0,656733.0,677801.0,698647.0,720649.0,742333.0,764166.0,786668.0,809052.0,832109.0,854618.0,876974.0,902120.0,927513.0,954645.0,982645.0,1011235.0,1040127.0,1068501.0,1098349.0,1127722.0,1167160.0,1197222.0,1198912.0,1209490.0,1219882.0,1230218.0,1240399.0,1250518.0,1260414.0,1270214.0,1279853.0,1289391.0,1298584.0,1327220.0,1354848.0,1381828.0,1407298.0,1430886.0,1452398.0,1473392.0,1495260.0,1519519.0,1546929.0,1575788.0,1603505.0,1630119.0,1654503.0,1680247.0,1706345.0,1728969.0,1747593.0,1762645.0,1770478.0,1772138.0
Andorra,5519.0,6230.0,6990.0,7799.0,8655.0,9554.0,10559.0,11752.0,13080.0,14468.0,15919.0,17437.0,19019.0,20665.0,22371.0,24116.0,25891.0,27675.0,29440.0,31157.0,32785.0,34324.0,36079.0,38042.0,39924.0,41688.0,43473.0,45338.0,47185.0,48991.0,50736.0,52402.0,54032.0,55672.0,57308.0,58939.0,59929.0,60271.0,60575.0,60840.0,61070.0,62432.0,64927.0,67408.0,69817.0,72071.0,72044.0,69810.0,67692.0,65663.0,63522.0,62611.0,62940.0,63186.0,63342.0,63384.0,64015.0,65087.0,66058.0,67170.0,68311.0,69438.0,70094.0
Arab World,28962106.0,30408389.0,31932243.0,33558356.0,35286052.0,37130880.0,39024589.0,40902246.0,42885974.0,44966231.0,47130498.0,49345017.0,51675150.0,54109269.0,56594291.0,59252369.0,62315071.0,65443443.0,68248168.0,71240603.0,74602526.0,77962857.0,81384598.0,85053405.0,88951111.0,92863321.0,96930670.0,100984920.0,104806024.0,108623837.0,113129779.0,116506182.0,120710168.0,124983628.0,129047259.0,132758111.0,136456753.0,140290489.0,144217717.0,148213002.0,152305719.0,156476716.0,160709287.0,165028788.0,169454014.0,174496874.0,180242023.0,186027900.0,192585424.0,199211212.0,205465837.0,210892180.0,216302063.0,222497540.0,228834568.0,235145769.0,241256824.0,247298631.0,253599696.0,259953055.0,265438305.0,270693478.0,276754580.0
United Arab Emirates,98068.0,104868.0,112027.0,119471.0,127151.0,135080.0,143284.0,151730.0,170438.0,202102.0,237871.0,274921.0,313110.0,352354.0,392580.0,433628.0,490746.0,566238.0,646673.0,731395.0,818438.0,887658.0,939727.0,993114.0,1047005.0,1100925.0,1169435.0,1252564.0,1335816.0,1419066.0,1502088.0,1584735.0,1666744.0,1747812.0,1827515.0,1906275.0,2019417.0,2167731.0,2318735.0,2472165.0,2627996.0,2785983.0,2945695.0,3106888.0,3269387.0,3521630.0,4048888.0,4875629.0,5827655.0,6693200.0,7132067.0,7239445.0,7343475.0,7444846.0,7543693.0,7639464.0,7731918.0,7821224.0,7908257.0,7994705.0,8084399.0,8175678.0,8265048.0
Argentina,14979650.0,15348560.0,15716292.0,16089028.0,16464585.0,16842160.0,17225308.0,17613474.0,18005236.0,18400662.0,18807203.0,19214226.0,19626980.0,20056003.0,20504103.0,20951181.0,21391331.0,21839851.0,22297552.0,22761324.0,23228918.0,23720282.0,24225416.0,24733787.0,25244303.0,25755554.0,26272907.0,26797140.0,27327921.0,27859735.0,28389540.0,28910601.0,29386348.0,29859584.0,30336257.0,30809888.0,31272164.0,31720057.0,32160222.0,32603604.0,33045629.0,33480950.0,33910889.0,34330154.0,34747780.0,35175563.0,35608120.0,36034446.0,36459843.0,36897033.0,37055902.0,37543830.0,38027774.0,38509756.0,38990109.0,39467043.0,39940546.0,40410674.0,40877099.0,41339571.0,41796990.0,42248949.0,42696478.0
